Table,Year,MsCode,CatCode,HECCode,Estimate,RSE,LowerCIB,UpperCIB,Flag
T3,2019,M002,C002L,07,,,,,S
T3,2019,M002,C002M,07,456.738,46.2,245.7,667.776,
T3,2019,M002,C002N,07,1395.476,18.4,1139.267,1651.685,
T3,2019,M002,C002O,07,7516.219,7.9,6920.102,8112.336,
T3,2019,M002,C002P,07,19777.68,5.4,18718.845,20836.514,
T3,2019,M002,C002A,08,52.275,25.7,38.824,65.726,
T3,2019,M002,C002B,08,,,,,S
T3,2019,M002,C002C,08,,,,,S
T3,2019,M002,C002D,08,234.302,66.2,79.16,389.444,
T3,2019,M002,C002E,08,,,,,S
T3,2019,M002,C002F,08,,,,,S
T3,2019,M002,C002G,08,38.664,72.1,10.791,66.537,
T3,2019,M002,C002H,08,8.14,89.9,0.824,15.455,
T3,2019,M002,C002I,08,,,,,S
T3,2019,M002,C002J,08,9.722,51.5,4.711,14.734,
T3,2019,M002,C002K,08,81.209,130.6,-24.887,187.305,
T3,2019,M002,C002L,08,,,,,S
T3,2019,M002,C002M,08,5.195,121.2,-1.099,11.49,
T3,2019,M002,C002N,08,170.408,16.8,141.801,199.016,
T3,2019,M002,C002O,08,2971.499,8.8,2709.591,3233.408,
T3,2019,M002,C002P,08,3573.102,9,3253.126,3893.078,
T3,2019,M002,C002A,09,501.359,7,466.029,536.689,
T3,2019,M002,C002B,09,8.078,119,-1.535,17.691,
T3,2019,M002,C002C,09,14.756,47.5,7.751,21.76,
T3,2019,M002,C002D,09,434.568,21.1,342.686,526.449,
T3,2019,M002,C002E,09,400.982,17.7,330.101,471.862,
T3,2019,M002,C002F,09,0.926,93.4,0.061,1.791,
T3,2019,M002,C002G,09,585.087,12.4,512.742,657.432,
T3,2019,M002,C002H,09,619.393,17.2,512.656,726.129,
T3,2019,M002,C002I,09,59.224,93.2,4.054,114.395,
T3,2019,M002,C002J,09,6.43,50.1,3.21,9.651,
T3,2019,M002,C002K,09,827.208,47.3,435.67,1218.746,
T3,2019,M002,C002L,09,,,,,S
T3,2019,M002,C002M,09,154.972,48.8,79.284,230.661,
T3,2019,M002,C002N,09,502.335,22.1,391.242,613.427,
T3,2019,M002,C002O,09,7796.55,11,6936.163,8656.937,
T3,2019,M002,C002P,09,11912.647,8.2,10940.402,12884.892,
T3,2019,M002,C002A,10,,,,,S
T3,2019,M002,C002B,10,,,,,S
T3,2019,M002,C002C,10,,,,,S
T3,2019,M002,C002D,10,,,,,S
T3,2019,M002,C002E,10,,,,,S
T3,2019,M002,C002F,10,,,,,S
T3,2019,M002,C002G,10,,,,,S
T3,2019,M002,C002H,10,,,,,S
T3,2019,M002,C002I,10,,,,,S
T3,2019,M002,C002J,10,,,,,S
T3,2019,M002,C002K,10,,,,,S
T3,2019,M002,C002L,10,,,,,S
T3,2019,M002,C002M,10,,,,,S
T3,2019,M002,C002N,10,,,,,S
T3,2019,M002,C002O,10,1785.032,17.2,1477.482,2092.582,
T3,2019,M002,C002P,10,1785.032,17.2,1477.482,2092.582,
T3,2019,M002,C002A,11,829.201,6,779.174,879.228,
T3,2019,M002,C002B,11,222.382,38.9,135.862,308.901,
T3,2019,M002,C002C,11,38.074,45.7,20.689,55.459,
T3,2019,M002,C002D,11,7.322,84.7,1.123,13.522,
T3,2019,M002,C002E,11,33.441,48.7,17.165,49.718,
T3,2019,M002,C002F,11,232.623,27.3,169.076,296.169,
T3,2019,M002,C002G,11,433.145,20.4,344.837,521.454,
T3,2019,M002,C002H,11,74.841,43.8,42.065,107.618,
T3,2019,M002,C002I,11,7.083,85.4,1.032,13.134,
T3,2019,M002,C002J,11,15.89,71.6,4.505,27.275,
T3,2019,M002,C002K,11,109.103,28.8,77.708,140.499,
T3,2019,M002,C002L,11,23.73,117.6,-4.183,51.643,
T3,2019,M002,C002M,11,13.908,128.5,-3.96,31.776,
T3,2019,M002,C002N,11,244.589,30.7,169.419,319.758,
T3,2019,M002,C002O,11,8180.575,4.6,7801.541,8559.609,
T3,2019,M002,C002P,11,10465.907,4.3,10011.068,10920.745,
T3,2019,M002,C002A,13,,,,,S
T3,2019,M002,C002B,13,,,,,S
T3,2019,M002,C002C,13,,,,,S
T3,2019,M002,C002D,13,,,,,S
T3,2019,M002,C002E,13,,,,,S
T3,2019,M002,C002F,13,,,,,S
T3,2019,M002,C002G,13,,,,,S
T3,2019,M002,C002H,13,,,,,S
T3,2019,M002,C002I,13,,,,,S
T3,2019,M002,C002J,13,,,,,S
T3,2019,M002,C002K,13,,,,,S
T3,2019,M002,C002L,13,,,,,S
T3,2019,M002,C002M,13,,,,,S
T3,2019,M002,C002N,13,,,,,S
T3,2019,M002,C002O,13,12245.476,6.2,11490.873,13000.079,
T3,2019,M002,C002P,13,12245.476,6.2,11490.873,13000.079,
T3,2019,M002,C002A,14,,,,,S
T3,2019,M002,C002B,14,,,,,S
T3,2019,M002,C002C,14,,,,,S
T3,2019,M002,C002D,14,,,,,S
T3,2019,M002,C002E,14,-0.815,144,-1.989,0.358,
T3,2019,M002,C002F,14,,,,,S
T3,2019,M002,C002G,14,,,,,S
T3,2019,M002,C002H,14,-0.631,100.9,-1.267,0.006,
T3,2019,M002,C002I,14,-785.133,31.8,-1034.522,-535.744,
T3,2019,M002,C002J,14,,,,,S
T3,2019,M002,C002K,14,-16.075,105.7,-33.067,0.917,
T3,2019,M002,C002L,14,,,,,S
T3,2019,M002,C002M,14,-58.446,76.8,-103.327,-13.564,
T3,2019,M002,C002N,14,-40.845,68.7,-68.915,-12.776,
T3,2019,M002,C002O,14,-2791.772,36.1,-3798.626,-1784.917,
T3,2019,M002,C002P,14,-3698.909,27.9,-4731.925,-2665.892,
T3,2019,M002,C002A,Net,18483.347,2.9,17951.182,19015.512,
T3,2019,M002,C002B,Net,1918.968,13,1668.622,2169.313,
T3,2019,M002,C002C,Net,1050.188,16.3,878.849,1221.527,
T3,2019,M002,C002D,Net,1161.258,19.4,935.639,1386.876,
T3,2019,M002,C002E,Net,1632.678,11.6,1443.727,1821.63,
T3,2019,M002,C002F,Net,696.951,12.7,608.438,785.465,
T3,2019,M002,C002G,Net,2839.663,7.3,2633.205,3046.121,
T3,2019,M002,C002H,Net,1203.076,13,1047.096,1359.055,
T3,2019,M002,C002I,Net,4702.532,13.2,4081.485,5323.58,
T3,2019,M002,C002J,Net,5091.881,4.6,4859.912,5323.849,
T3,2019,M002,C002K,Net,1351.798,30.5,940.157,1763.439,
T3,2019,M002,C002L,Net,5921.107,5.2,5613.481,6228.733,
T3,2019,M002,C002M,Net,1162.855,26.8,851.027,1474.684,
T3,2019,M002,C002N,Net,3649.441,9.3,3309.94,3988.943,
T3,2019,M002,C002O,Net,72737.894,3.6,70130.914,75344.875,
T3,2019,M002,C002P,Net,123603.637,2.7,120212.019,126995.255,
T4,2019,M001,C003A,01,94.7,6.4,88.6,100.8,
T4,2019,M001,C003B,01,205.6,4.1,197.1,214,
T4,2019,M001,C003C,01,288.1,10.7,257.1,319,
T4,2019,M001,C003D,01,315.7,5.9,297.2,334.3,
T4,2019,M001,C003E,01,341,7.8,314.4,367.5,
T4,2019,M001,C003F,01,233.6,2.9,226.8,240.3,
T4,2019,M001,C003A,02,17.3,16.6,14.4,20.1,
T4,2019,M001,C003B,02,30.1,11.5,26.6,33.5,
T4,2019,M001,C003C,02,30.6,14.5,26.2,35,
T4,2019,M001,C003D,02,39.1,17.8,32.2,46.1,
T4,2019,M001,C003E,02,31.2,19.9,25,37.4,
T4,2019,M001,C003F,02,29.4,6.9,27.3,31.4,
T4,2019,M001,C003A,03,12.4,33.4,8.2,16.5,
T4,2019,M001,C003B,03,34.3,16,28.8,39.8,
T4,2019,M001,C003C,03,42.9,21.5,33.6,52.1,
T4,2019,M001,C003D,03,53.7,16.9,44.6,62.7,
T4,2019,M001,C003E,03,49.6,20.5,39.4,59.8,
T4,2019,M001,C003F,03,36.7,9.4,33.2,40.1,
T4,2019,M001,C003A,04,212.3,8.7,193.8,230.8,
T4,2019,M001,C003B,04,313,5.8,294.9,331.2,
T4,2019,M001,C003C,04,379,6.8,353.4,404.7,
T4,2019,M001,C003D,04,402,7.3,372.5,431.5,
T4,2019,M001,C003E,04,514.6,19.2,416,613.2,
T4,2019,M001,C003F,04,344.2,4.9,327.5,360.9,
T4,2019,M001,C003A,05,28.1,23.2,21.6,34.7,
T4,2019,M001,C003B,05,54.2,11,48.3,60.2,
T4,2019,M001,C003C,05,59.5,16.2,49.9,69.2,
T4,2019,M001,C003D,05,64.2,20.2,51.2,77.2,
T4,2019,M001,C003E,05,49.8,17.7,41,58.6,
T4,2019,M001,C003F,05,51.3,7.7,47.4,55.2,
T4,2019,M001,C003A,06,24.1,40.7,14.3,33.9,
T4,2019,M001,C003B,06,44.8,13.6,38.7,50.9,
T4,2019,M001,C003C,06,41.8,17.1,34.6,48.9,
T4,2019,M001,C003D,06,52.4,26.6,38.5,66.4,
T4,2019,M001,C003E,06,47.4,37.8,29.5,65.3,
T4,2019,M001,C003F,06,41.9,10.3,37.6,46.2,
T4,2019,M001,C003A,07,93.8,21,74,113.5,
T4,2019,M001,C003B,07,213.6,8.5,195.5,231.7,
T4,2019,M001,C003C,07,235.9,11.5,208.7,263,
T4,2019,M001,C003D,07,287.4,11.7,253.8,321.1,
T4,2019,M001,C003E,07,288.6,14.8,246,331.3,
T4,2019,M001,C003F,07,215.8,5.4,204.3,227.4,
T4,2019,M001,C003A,08,22.8,7.3,21.1,24.4,
T4,2019,M001,C003B,08,36.4,13.6,31.5,41.3,
T4,2019,M001,C003C,08,42.4,10.3,38.1,46.8,
T4,2019,M001,C003D,08,50.4,30.9,34.8,66,
T4,2019,M001,C003E,08,51.3,20.3,40.9,61.7,
T4,2019,M001,C003F,08,39,9,35.5,42.5,
T4,2019,M001,C003A,09,63.4,25.5,47.2,79.6,
T4,2019,M001,C003B,09,146.3,15.6,123.5,169.2,
T4,2019,M001,C003C,09,140.7,16.1,118,163.4,
T4,2019,M001,C003D,09,156.5,15.1,132.9,180,
T4,2019,M001,C003E,09,138.2,16.8,114.9,161.4,
T4,2019,M001,C003F,09,130,8.2,119.4,140.6,
T4,2019,M001,C003A,10,0.9,64.2,0.3,1.5,
T4,2019,M001,C003B,10,7.3,61.2,2.8,11.8,
T4,2019,M001,C003C,10,26.5,29.1,18.8,34.3,
T4,2019,M001,C003D,10,48,32.8,32.3,63.7,
T4,2019,M001,C003E,10,32.7,29.5,23.1,42.4,
T4,2019,M001,C003F,10,19.5,17.2,16.1,22.8,
T4,2019,M001,C003A,11,55,10.2,49.4,60.5,
T4,2019,M001,C003B,11,117.7,6.3,110.2,125.1,
T4,2019,M001,C003C,11,130.1,11.7,114.8,145.3,
T4,2019,M001,C003D,11,146.8,10,132,161.5,
T4,2019,M001,C003E,11,130.4,16.7,108.7,152.2,
T4,2019,M001,C003F,11,114.2,4.3,109.2,119.2,
T4,2019,M001,C003A,13,49.7,22,38.7,60.6,
T4,2019,M001,C003B,13,95,8.7,86.7,103.3,
T4,2019,M001,C003C,13,180.4,13.2,156.5,204.3,
T4,2019,M001,C003D,13,203.1,11,180.8,225.5,
T4,2019,M001,C003E,13,211,16,177.3,244.8,
T4,2019,M001,C003F,13,133.6,6.2,125.4,141.9,
T4,2019,M001,C003A,14,-29.3,56.1,-45.8,-12.9,
T4,2019,M001,C003B,14,-48.9,61.1,-78.8,-19,
T4,2019,M001,C003C,14,-43.5,43.9,-62.6,-24.4,
T4,2019,M001,C003D,14,-38.5,50.8,-58.1,-18.9,
T4,2019,M001,C003E,14,-31.9,35.3,-43.2,-20.7,
T4,2019,M001,C003F,14,-40.4,27.9,-51.6,-29.1,
T4,2019,M001,C003A,Net,645,8.4,590.7,699.4,
T4,2019,M001,C003B,Net,1249.4,5.1,1186.1,1312.7,
T4,2019,M001,C003C,Net,1554.5,6.3,1456.1,1652.8,
T4,2019,M001,C003D,Net,1780.9,5,1691.4,1870.3,
T4,2019,M001,C003E,Net,1854,9.2,1683.7,2024.3,
T4,2019,M001,C003F,Net,1348.7,2.7,1311.7,1385.7,
T4,2019,M001,C004A,01,219.1,4.2,209.8,228.3,
T4,2019,M001,C004B,01,259.3,8.7,236.7,282,
T4,2019,M001,C004C,01,310.9,7.2,288.5,333.3,
T4,2019,M001,C004D,01,330.4,9.2,300,360.8,
T4,2019,M001,C004E,01,374.8,14.2,321.6,428,
T4,2019,M001,C004F,01,148.9,11.2,132.2,165.5,
T4,2019,M001,C004G,01,207.8,13.5,179.8,235.8,
T4,2019,M001,C004H,01,309.7,9.8,279.3,340.1,
T4,2019,M001,C004I,01,94.7,6.4,88.6,100.8,
T4,2019,M001,C004J,01,283.5,10.8,252.9,314,
T4,2019,M001,C004K,01,233.6,2.9,226.8,240.3,
T4,2019,M001,C004A,02,30.8,12.5,26.9,34.6,
T4,2019,M001,C004B,02,25.8,23.3,19.8,31.8,
T4,2019,M001,C004C,02,32.6,21.6,25.6,39.6,
T4,2019,M001,C004D,02,25,35.3,16.2,33.9,
T4,2019,M001,C004E,02,40.9,23.4,31.3,50.5,
T4,2019,M001,C004F,02,13.4,31.7,9.2,17.7,
T4,2019,M001,C004G,02,26.7,35.4,17.2,36.2,
T4,2019,M001,C004H,02,35.1,24.8,26.4,43.9,
T4,2019,M001,C004I,02,17.3,16.6,14.4,20.1,
T4,2019,M001,C004J,02,47.6,18.7,38.7,56.5,
T4,2019,M001,C004K,02,29.4,6.9,27.3,31.4,
T4,2019,M001,C004A,03,37,16.8,30.8,43.2,
T4,2019,M001,C004B,03,51.3,32.4,34.7,68,
T4,2019,M001,C004C,03,53.9,19.6,43.3,64.5,
T4,2019,M001,C004D,03,48.1,35.8,30.9,65.3,
T4,2019,M001,C004E,03,54.8,26.9,40.1,69.6,
T4,2019,M001,C004F,03,26.5,45.5,14.4,38.5,
T4,2019,M001,C004G,03,30.1,41.2,17.7,42.5,
T4,2019,M001,C004H,03,41.5,27.2,30.2,52.8,
T4,2019,M001,C004I,03,12.4,33.4,8.2,16.5,
T4,2019,M001,C004J,03,40.2,27.4,29.2,51.1,
T4,2019,M001,C004K,03,36.7,9.4,33.2,40.1,
T4,2019,M001,C004A,04,313.9,6.2,294.5,333.2,
T4,2019,M001,C004B,04,411.4,10.5,368.1,454.8,
T4,2019,M001,C004C,04,380.1,10.5,340.1,420,
T4,2019,M001,C004D,04,604.7,47,320.7,888.7,
T4,2019,M001,C004E,04,380.8,11.2,338,423.7,
T4,2019,M001,C004F,04,341.2,8.3,312.8,369.5,
T4,2019,M001,C004G,04,289,16.4,241.6,336.4,
T4,2019,M001,C004H,04,440.5,10.7,393.5,487.6,
T4,2019,M001,C004I,04,212.3,8.7,193.8,230.8,
T4,2019,M001,C004J,04,435,10.1,391.2,478.8,
T4,2019,M001,C004K,04,344.2,4.9,327.5,360.9,
T4,2019,M001,C004A,05,61.3,11.3,54.4,68.2,
T4,2019,M001,C004B,05,73,28.6,52.1,93.9,
T4,2019,M001,C004C,05,69.8,27.8,50.4,89.2,
T4,2019,M001,C004D,05,62.1,30.7,43,81.2,
T4,2019,M001,C004E,05,62.4,23.5,47.7,77.1,
T4,2019,M001,C004F,05,24.5,25.3,18.3,30.7,
T4,2019,M001,C004G,05,34.5,43.4,19.5,49.4,
T4,2019,M001,C004H,05,51.7,19,41.9,61.6,
T4,2019,M001,C004I,05,28.1,23.2,21.6,34.7,
T4,2019,M001,C004J,05,40.5,19.7,32.5,48.5,
T4,2019,M001,C004K,05,51.3,7.7,47.4,55.2,
T4,2019,M001,C004A,06,49.7,14.8,42.4,57.1,
T4,2019,M001,C004B,06,39.7,33.1,26.5,52.8,
T4,2019,M001,C004C,06,48.7,29.4,34.4,63,
T4,2019,M001,C004D,06,36.6,44.7,20.3,53,
T4,2019,M001,C004E,06,67.4,32.5,45.5,89.3,
T4,2019,M001,C004F,06,20.1,38.4,12.4,27.8,
T4,2019,M001,C004G,06,36.4,36.6,23,49.7,
T4,2019,M001,C004H,06,55.7,49.2,28.3,83.2,
T4,2019,M001,C004I,06,24.1,40.7,14.3,33.9,
T4,2019,M001,C004J,06,27.1,30.4,18.9,35.3,
T4,2019,M001,C004K,06,41.9,10.3,37.6,46.2,
T4,2019,M001,C004A,07,239.4,9.5,216.6,262.2,
T4,2019,M001,C004B,07,208.6,15.7,175.9,241.3,
T4,2019,M001,C004C,07,292.4,20.1,233.8,351,
T4,2019,M001,C004D,07,268.1,21.2,211.3,324.9,
T4,2019,M001,C004E,07,335.1,13.2,290.7,379.5,
T4,2019,M001,C004F,07,88.8,16.3,74.3,103.2,
T4,2019,M001,C004G,07,174,18.7,141.3,206.6,
T4,2019,M001,C004H,07,250.5,18.5,204.2,296.8,
T4,2019,M001,C004I,07,93.8,21,74,113.5,
T4,2019,M001,C004J,07,247.2,17,205.2,289.3,
T4,2019,M001,C004K,07,215.8,5.4,204.3,227.4,
T4,2019,M001,C004A,08,34.7,7.2,32.2,37.2,
T4,2019,M001,C004B,08,36.6,8.7,33.5,39.8,
T4,2019,M001,C004C,08,54.6,51.9,26.3,82.9,
T4,2019,M001,C004D,08,39.4,14.4,33.7,45,
T4,2019,M001,C004E,08,57.6,23.9,43.8,71.3,
T4,2019,M001,C004F,08,27.2,11.4,24.1,30.3,
T4,2019,M001,C004G,08,62.2,63.4,22.7,101.6,
T4,2019,M001,C004H,08,51.1,20.1,40.8,61.4,
T4,2019,M001,C004I,08,22.8,7.3,21.1,24.4,
T4,2019,M001,C004J,08,38.2,13,33.2,43.1,
T4,2019,M001,C004K,08,39,9,35.5,42.5,
T4,2019,M001,C004A,09,163.6,17,135.8,191.4,
T4,2019,M001,C004B,09,120.2,20.9,95.1,145.3,
T4,2019,M001,C004C,09,164,16.5,137,191.1,
T4,2019,M001,C004D,09,163.9,23.3,125.6,202.1,
T4,2019,M001,C004E,09,205.1,22.5,159,251.3,
T4,2019,M001,C004F,09,60.2,26,44.6,75.8,
T4,2019,M001,C004G,09,103.2,29.3,72.9,133.4,
T4,2019,M001,C004H,09,123.4,21.6,96.7,150,
T4,2019,M001,C004I,09,63.4,25.5,47.2,79.6,
T4,2019,M001,C004J,09,101.1,19.4,81.4,120.7,
T4,2019,M001,C004K,09,130,8.2,119.4,140.6,
T4,2019,M001,C004A,10,7.1,77.8,1.6,12.6,
T4,2019,M001,C004B,10,42.9,41.8,25,60.9,
T4,2019,M001,C004C,10,53,23.3,40.6,65.4,
T4,2019,M001,C004D,10,38,40,22.8,53.3,
T4,2019,M001,C004E,10,18.5,46.1,10,27,
T4,2019,M001,C004F,10,14.3,32.3,9.6,18.9,
T4,2019,M001,C004G,10,15,79.7,3,26.9,
T4,2019,M001,C004H,10,29.9,52,14.3,45.5,
T4,2019,M001,C004I,10,0.9,64.2,0.3,1.5,
T4,2019,M001,C004J,10,36.7,87.3,4.7,68.7,
T4,2019,M001,C004K,10,19.5,17.2,16.1,22.8,
T4,2019,M001,C004A,11,130.9,6.6,122.3,139.5,
T4,2019,M001,C004B,11,130.9,19,106.1,155.8,
T4,2019,M001,C004C,11,139.1,10.5,124.5,153.7,
T4,2019,M001,C004D,11,125.2,14.6,106.9,143.6,
T4,2019,M001,C004E,11,190.5,13.6,164.6,216.4,
T4,2019,M001,C004F,11,52,15.3,44,59.9,
T4,2019,M001,C004G,11,88.7,20.4,70.6,106.8,
T4,2019,M001,C004H,11,128.9,26.8,94.5,163.4,
T4,2019,M001,C004I,11,55,10.2,49.4,60.5,
T4,2019,M001,C004J,11,98,14.9,83.3,112.6,
T4,2019,M001,C004K,11,114.2,4.3,109.2,119.2,
T4,2019,M001,C004A,13,100.7,10.4,90.2,111.2,
T4,2019,M001,C004B,13,222.2,12.8,193.7,250.7,
T4,2019,M001,C004C,13,238.7,14.1,204.9,272.4,
T4,2019,M001,C004D,13,219.2,28.4,156.8,281.6,
T4,2019,M001,C004E,13,170.6,14.4,146,195.2,
T4,2019,M001,C004F,13,75.4,24.5,57,93.9,
T4,2019,M001,C004G,13,84.7,30.9,58.6,110.9,
T4,2019,M001,C004H,13,199.5,21.8,156,243,
T4,2019,M001,C004I,13,49.7,22,38.7,60.6,
T4,2019,M001,C004J,13,167.4,27.8,121,213.9,
T4,2019,M001,C004K,13,133.6,6.2,125.4,141.9,
T4,2019,M001,C004A,14,-58,65.2,-95.8,-20.1,
T4,2019,M001,C004B,14,-22,40.8,-30.9,-13,
T4,2019,M001,C004C,14,-33.7,35.6,-45.7,-21.7,
T4,2019,M001,C004D,14,-33.4,44.4,-48.2,-18.6,
T4,2019,M001,C004E,14,-68.2,50.7,-102.8,-33.6,
T4,2019,M001,C004F,14,-7.1,89.1,-13.3,-0.8,
T4,2019,M001,C004G,14,-19.1,58.2,-30.2,-8,
T4,2019,M001,C004H,14,-49.4,86.3,-92,-6.8,
T4,2019,M001,C004I,14,-29.3,56.1,-45.8,-12.9,
T4,2019,M001,C004J,14,-23.1,50.6,-34.8,-11.4,
T4,2019,M001,C004K,14,-40.4,27.9,-51.6,-29.1,
T4,2019,M001,C004A,Net,1330.1,5.6,1256.1,1404.1,
T4,2019,M001,C004B,Net,1600.2,8.3,1466.8,1733.7,
T4,2019,M001,C004C,Net,1804.1,6.6,1685.2,1923,
T4,2019,M001,C004D,Net,1927.4,18.9,1563.7,2291.1,
T4,2019,M001,C004E,Net,1890.4,8.8,1723.4,2057.4,
T4,2019,M001,C004F,Net,885.4,7.8,816.2,954.5,
T4,2019,M001,C004G,Net,1133,13.2,983.9,1282.1,
T4,2019,M001,C004H,Net,1668.3,8.7,1522.7,1813.8,
T4,2019,M001,C004I,Net,645,8.4,590.7,699.4,
T4,2019,M001,C004J,Net,1539.3,7.2,1428.4,1650.1,
T4,2019,M001,C004K,Net,1348.7,2.7,1311.7,1385.7,
T4,2019,M001,C005A,01,243.3,3.4,235,251.5,
T4,2019,M001,C005B,01,196.8,5.3,186.3,207.2,
T4,2019,M001,C005C,01,294.7,12.8,257,332.4,
T4,2019,M001,C005D,01,233.6,2.9,226.8,240.3,
T4,2019,M001,C005A,02,30.6,10.1,27.5,33.7,
T4,2019,M001,C005B,02,26.3,11.1,23.4,29.2,
T4,2019,M001,C005C,02,33.1,13,28.8,37.4,
T4,2019,M001,C005D,02,29.4,6.9,27.3,31.4,
T4,2019,M001,C005A,03,41.1,13.5,35.5,46.6,
T4,2019,M001,C005B,03,28.3,15.5,23.9,32.6,
T4,2019,M001,C005C,03,43,20.7,34.1,51.9,
T4,2019,M001,C005D,03,36.7,9.4,33.2,40.1,
T4,2019,M001,C005A,04,300.7,5.3,284.7,316.6,
T4,2019,M001,C005B,04,397.8,4.5,379.9,415.7,
T4,2019,M001,C005C,04,360.7,25,270.5,450.8,
T4,2019,M001,C005D,04,344.2,4.9,327.5,360.9,
T4,2019,M001,C005A,05,60.8,9.7,54.9,66.7,
T4,2019,M001,C005B,05,31.7,14.1,27.2,36.2,
T4,2019,M001,C005C,05,68,16.5,56.7,79.2,
T4,2019,M001,C005D,05,51.3,7.7,47.4,55.2,
T4,2019,M001,C005A,06,45.9,12.7,40.1,51.8,
T4,2019,M001,C005B,06,25,18.3,20.4,29.6,
T4,2019,M001,C005C,06,71.1,29.1,50.4,91.7,
T4,2019,M001,C005D,06,41.9,10.3,37.6,46.2,
T4,2019,M001,C005A,07,227.7,8.1,209.2,246.2,
T4,2019,M001,C005B,07,158.6,8.4,145.4,171.9,
T4,2019,M001,C005C,07,322.2,17.8,265,379.5,
T4,2019,M001,C005D,07,215.8,5.4,204.3,227.4,
T4,2019,M001,C005A,08,42.4,15.9,35.7,49.2,
T4,2019,M001,C005B,08,34.4,9.8,31,37.8,
T4,2019,M001,C005C,08,38.7,10,34.9,42.6,
T4,2019,M001,C005D,08,39,9,35.5,42.5,
T4,2019,M001,C005A,09,140.5,9.1,127.7,153.3,
T4,2019,M001,C005B,09,74,10.1,66.5,81.4,
T4,2019,M001,C005C,09,237.7,22.9,183.3,292,
T4,2019,M001,C005D,09,130,8.2,119.4,140.6,
T4,2019,M001,C005A,10,17.4,19.3,14,20.7,
T4,2019,M001,C005B,10,18.9,38.2,11.7,26.2,
T4,2019,M001,C005C,10,28.4,45.4,15.5,41.4,
T4,2019,M001,C005D,10,19.5,17.2,16.1,22.8,
T4,2019,M001,C005A,11,132.7,6.1,124.6,140.8,
T4,2019,M001,C005B,11,61.6,8.5,56.4,66.9,
T4,2019,M001,C005C,11,185,10.7,165.2,204.8,
T4,2019,M001,C005D,11,114.2,4.3,109.2,119.2,
T4,2019,M001,C005A,13,185.8,6.6,173.6,198,
T4,2019,M001,C005B,13,52,13.6,44.9,59,
T4,2019,M001,C005C,13,161,20.7,127.7,194.3,
T4,2019,M001,C005D,13,133.6,6.2,125.4,141.9,
T4,2019,M001,C005A,14,-37.6,26.8,-47.6,-27.5,
T4,2019,M001,C005B,14,-36.6,77.4,-64.9,-8.2,
T4,2019,M001,C005C,14,-60.2,31.4,-79.1,-41.3,
T4,2019,M001,C005D,14,-40.4,27.9,-51.6,-29.1,
T4,2019,M001,C005A,Net,1431.3,3.7,1377.9,1484.7,
T4,2019,M001,C005B,Net,1068.8,5,1015.6,1121.9,
T4,2019,M001,C005C,Net,1783.3,9.8,1608.1,1958.6,
T4,2019,M001,C005D,Net,1348.7,2.7,1311.7,1385.7,
